timestamp, airPressureHectoPascals, ambientTemperatureCelsius, absoluteAltituteMeters
16-07-21 13:07:44.033,1011.97, 28.0, 10.661575
16-07-21 13:07:44.111,1011.85, 28.0, 11.662997
16-07-21 13:07:44.184,1012.00995, 28.0, 10.328649
16-07-21 13:07:44.267,1011.94995, 28.0, 10.828038
16-07-21 13:07:44.316,1011.88995, 28.0, 11.3300705
16-07-21 13:07:44.406,1011.94995, 28.0, 10.828038
16-07-21 13:07:44.488,1011.82996, 28.0, 11.82946
16-07-21 13:07:44.545,1011.94995, 28.0, 10.828038
16-07-21 13:07:44.623,1011.97, 28.0, 10.661575
16-07-21 13:07:44.696,1011.97, 28.0, 10.661575
16-07-21 13:07:44.777,1012.00995, 28.0, 10.328649
16-07-21 13:07:44.824,1011.97, 28.0, 10.661575
16-07-21 13:07:44.901,1012.00995, 28.0, 10.328649
16-07-21 13:07:44.982,1011.97, 28.0, 10.661575
16-07-21 13:07:45.058,1012.08997, 28.0, 9.662796
16-07-21 13:07:45.135,1011.97, 28.0, 10.661575
16-07-21 13:07:45.185,1011.94995, 28.0, 10.828038
16-07-21 13:07:45.263,1012.00995, 28.0, 10.328649
16-07-21 13:07:45.340,1012.07, 28.0, 9.829259
16-07-21 13:07:45.417,1012.08997, 28.0, 9.662796
16-07-21 13:07:45.490,1011.97, 28.0, 10.661575
16-07-21 13:07:45.567,1011.97, 28.0, 10.661575
16-07-21 13:07:45.645,1012.07, 28.0, 9.829259
16-07-21 13:07:45.697,1011.97, 28.0, 10.661575
16-07-21 13:07:45.776,1011.97, 28.0, 10.661575
16-07-21 13:07:45.866,1011.97, 28.0, 10.661575
16-07-21 13:07:45.940,1012.00995, 28.0, 10.328649
16-07-21 13:07:45.990,1012.00995, 28.0, 10.328649
16-07-21 13:07:46.070,1012.02997, 28.0, 10.162186
16-07-21 13:07:46.147,1011.94995, 28.0, 10.828038
16-07-21 13:07:46.218,1012.00995, 28.0, 10.328649
16-07-21 13:07:46.295,1011.97, 28.0, 10.661575
16-07-21 13:07:46.350,1011.97, 28.0, 10.661575
16-07-21 13:07:46.432,1012.00995, 28.0, 10.328649
16-07-21 13:07:46.509,1012.02997, 28.0, 10.162186
16-07-21 13:07:46.593,1011.91, 28.0, 11.160965
16-07-21 13:07:46.644,1011.97, 28.0, 10.661575
16-07-21 13:07:46.724,1011.94995, 28.0, 10.828038
16-07-21 13:07:46.803,1011.97, 28.0, 10.661575
16-07-21 13:07:46.882,1011.94995, 28.0, 10.828038
16-07-21 13:07:46.932,1011.97, 28.0, 10.661575
16-07-21 13:07:47.010,1011.97, 28.0, 10.661575
16-07-21 13:07:47.088,1012.00995, 28.0, 10.328649
16-07-21 13:07:47.182,1012.00995, 28.0, 10.328649
16-07-21 13:07:47.225,1011.94995, 28.0, 10.828038
16-07-21 13:07:47.305,1011.97, 28.0, 10.661575
16-07-21 13:07:47.383,1012.02997, 28.0, 10.162186
16-07-21 13:07:47.457,1011.88995, 28.0, 11.3300705
16-07-21 13:07:47.537,1012.02997, 28.0, 10.162186
16-07-21 13:07:47.589,1011.97, 28.0, 10.661575
16-07-21 13:07:47.671,1011.97, 28.0, 10.661575
16-07-21 13:07:47.751,1011.94995, 28.0, 10.828038
16-07-21 13:07:47.803,1011.91, 28.0, 11.160965
16-07-21 13:07:47.884,1011.97, 28.0, 10.661575
16-07-21 13:07:47.961,1011.97, 28.0, 10.661575
16-07-21 13:07:48.044,1012.00995, 28.0, 10.328649
16-07-21 13:07:48.096,1011.97, 28.0, 10.661575
16-07-21 13:07:48.177,1011.91, 28.0, 11.160965
16-07-21 13:07:48.254,1011.91, 28.0, 11.160965
16-07-21 13:07:48.336,1012.02997, 28.0, 10.162186
16-07-21 13:07:48.389,1011.97, 28.0, 10.661575
16-07-21 13:07:48.482,1012.08997, 28.0, 9.662796
16-07-21 13:07:48.557,1011.91, 28.0, 11.160965
16-07-21 13:07:48.610,1011.94995, 28.0, 10.828038
16-07-21 13:07:48.692,1011.94995, 28.0, 10.828038
16-07-21 13:07:48.768,1011.97, 28.0, 10.661575
16-07-21 13:07:48.851,1012.00995, 28.0, 10.328649
16-07-21 13:07:48.903,1011.94995, 28.0, 10.828038
16-07-21 13:07:48.987,1011.97, 28.0, 10.661575
16-07-21 13:07:49.064,1012.02997, 28.0, 10.162186
16-07-21 13:07:49.117,1012.07, 28.0, 9.829259
16-07-21 13:07:49.200,1011.97, 28.0, 10.661575
16-07-21 13:07:49.276,1012.07, 28.0, 9.829259
16-07-21 13:07:49.359,1011.97, 28.0, 10.661575
16-07-21 13:07:49.414,1011.94995, 28.0, 10.828038
16-07-21 13:07:49.492,1011.97, 28.0, 10.661575
16-07-21 13:07:49.576,1012.02997, 28.0, 10.162186
16-07-21 13:07:49.631,1012.00995, 28.0, 10.328649
16-07-21 13:07:49.734,1011.97, 28.0, 10.661575
16-07-21 13:07:49.783,1012.02997, 28.0, 10.162186
16-07-21 13:07:49.867,1012.00995, 28.0, 10.328649
16-07-21 13:07:49.945,1012.00995, 28.0, 10.328649
16-07-21 13:07:50.000,1011.91, 28.0, 11.160965
16-07-21 13:07:50.077,1011.94995, 28.0, 10.828038
16-07-21 13:07:50.161,1012.07, 28.0, 9.829259
16-07-21 13:07:50.217,1012.02997, 28.0, 10.162186
16-07-21 13:07:50.300,1012.00995, 28.0, 10.328649
16-07-21 13:07:50.376,1012.02997, 28.0, 10.162186
16-07-21 13:07:50.430,1012.02997, 28.0, 10.162186
16-07-21 13:07:50.516,1012.08997, 28.0, 9.662796
16-07-21 13:07:50.592,1012.02997, 28.0, 10.162186
16-07-21 13:07:50.648,1012.00995, 28.0, 10.328649
16-07-21 13:07:50.730,1012.00995, 28.0, 10.328649
16-07-21 13:07:50.805,1012.02997, 28.0, 10.162186
16-07-21 13:07:50.860,1012.02997, 28.0, 10.162186
16-07-21 13:07:50.955,1011.94995, 28.0, 10.828038
16-07-21 13:07:51.030,1012.07, 28.0, 9.829259
16-07-21 13:07:51.085,1012.02997, 28.0, 10.162186
16-07-21 13:07:51.167,1012.00995, 28.0, 10.328649
16-07-21 13:07:51.241,1012.02997, 28.0, 10.162186
16-07-21 13:07:51.295,1012.07, 28.0, 9.829259
16-07-21 13:07:51.375,1012.00995, 28.0, 10.328649
16-07-21 13:07:51.458,1011.94995, 28.0, 10.828038
16-07-21 13:07:51.533,1012.00995, 28.0, 10.328649
16-07-21 13:07:51.596,1011.97, 28.0, 10.661575
16-07-21 13:07:51.678,1012.02997, 28.0, 10.162186
16-07-21 13:07:51.729,1012.07, 28.0, 9.829259
16-07-21 13:07:51.811,1012.02997, 28.0, 10.162186
16-07-21 13:07:51.896,1011.97, 28.0, 10.661575
16-07-21 13:07:51.975,1011.94995, 28.0, 10.828038
16-07-21 13:07:52.058,1012.08997, 28.0, 9.662796
16-07-21 13:07:52.106,1011.97, 28.0, 10.661575
16-07-21 13:07:52.193,1011.97, 28.0, 10.661575
16-07-21 13:07:52.273,1011.97, 28.0, 10.661575
16-07-21 13:07:52.334,1012.00995, 28.0, 10.328649
16-07-21 13:07:52.420,1011.97, 28.0, 10.661575
16-07-21 13:07:52.473,1012.07, 28.0, 9.829259
16-07-21 13:07:52.560,1012.14996, 28.0, 9.163406
16-07-21 13:07:52.610,1011.94995, 28.0, 10.828038
16-07-21 13:07:52.696,1012.00995, 28.0, 10.328649
16-07-21 13:07:52.774,1011.94995, 28.0, 10.828038
16-07-21 13:07:52.831,1012.13, 28.0, 9.329869
16-07-21 13:07:52.918,1012.02997, 28.0, 10.162186
16-07-21 13:07:52.999,1012.07, 28.0, 9.829259
16-07-21 13:07:53.057,1011.97, 28.0, 10.661575
16-07-21 13:07:53.142,1012.07, 28.0, 9.829259
16-07-21 13:07:53.202,1012.07, 28.0, 9.829259
16-07-21 13:07:53.282,1011.91, 28.0, 11.160965
16-07-21 13:07:53.342,1011.97, 28.0, 10.661575
16-07-21 13:07:53.428,1012.02997, 28.0, 10.162186
16-07-21 13:07:53.480,1012.07, 28.0, 9.829259
16-07-21 13:07:53.569,1012.00995, 28.0, 10.328649
16-07-21 13:07:53.648,1011.91, 28.0, 11.160965
16-07-21 13:07:53.714,1012.00995, 28.0, 10.328649
16-07-21 13:07:53.794,1012.02997, 28.0, 10.162186
16-07-21 13:07:53.853,1012.07, 28.0, 9.829259
16-07-21 13:07:53.939,1012.07, 28.0, 9.829259
16-07-21 13:07:53.991,1011.97, 28.0, 10.661575
16-07-21 13:07:54.079,1012.07, 28.0, 9.829259
16-07-21 13:07:54.130,1011.91, 28.0, 11.160965
16-07-21 13:07:54.236,1011.97, 28.0, 10.661575
16-07-21 13:07:54.319,1011.94995, 28.0, 10.828038
16-07-21 13:07:54.379,1011.94995, 28.0, 10.828038
16-07-21 13:07:54.458,1011.94995, 28.0, 10.828038
16-07-21 13:07:54.519,1012.02997, 28.0, 10.162186
16-07-21 13:07:54.606,1012.02997, 28.0, 10.162186
16-07-21 13:07:54.656,1011.85, 28.0, 11.662997
16-07-21 13:07:54.744,1011.97, 28.0, 10.661575
