[16-07-21_15:20:30.418][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.836, 105.00718
[16-07-21_15:20:30.488][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:30.554][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.744, 105.296646
[16-07-21_15:20:30.638][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:30.704][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:30.776][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:30.853][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:30.970][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:31.045][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.652, 105.296646
[16-07-21_15:20:31.114][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:31.189][[µT]X, Y, Z, Direção]-13.247999, 17.664, 16.744, 104.62711
[16-07-21_15:20:31.258][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:31.325][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:31.398][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:31.513][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:31.586][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:31.660][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.744, 105.10657
[16-07-21_15:20:31.735][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:31.803][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:31.869][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.836, 104.77083
[16-07-21_15:20:31.940][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:32.033][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.744, 105.00718
[16-07-21_15:20:32.103][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.928001, 104.81763
[16-07-21_15:20:32.181][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:32.246][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:32.317][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.652, 104.81763
[16-07-21_15:20:32.396][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.744, 105.00718
[16-07-21_15:20:32.534][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:32.545][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:32.635][[µT]X, Y, Z, Direção]-13.247999, 17.664, 16.652, 104.62711
[16-07-21_15:20:32.710][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.744, 105.296646
[16-07-21_15:20:32.772][[µT]X, Y, Z, Direção]-13.247999, 17.572, 16.744, 104.77083
[16-07-21_15:20:32.839][[µT]X, Y, Z, Direção]-13.340001, 17.756, 16.836, 104.67458
[16-07-21_15:20:32.922][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:33.036][[µT]X, Y, Z, Direção]-13.156, 17.664, 16.836, 104.43565
[16-07-21_15:20:33.111][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.744, 105.00718
[16-07-21_15:20:33.189][[µT]X, Y, Z, Direção]-13.247999, 17.756, 16.744, 104.48435
[16-07-21_15:20:33.266][[µT]X, Y, Z, Direção]-13.247999, 17.664, 16.744, 104.62711
[16-07-21_15:20:33.346][[µT]X, Y, Z, Direção]-13.156, 17.756, 16.652, 104.293175
[16-07-21_15:20:33.406][[µT]X, Y, Z, Direção]-13.156, 17.664, 16.836, 104.43565
[16-07-21_15:20:33.550][[µT]X, Y, Z, Direção]-13.156, 17.756, 16.744, 104.293175
[16-07-21_15:20:33.563][[µT]X, Y, Z, Direção]-13.156, 17.756, 16.744, 104.293175
[16-07-21_15:20:33.664][[µT]X, Y, Z, Direção]-13.064, 17.848, 16.56, 103.95981
[16-07-21_15:20:33.680][[µT]X, Y, Z, Direção]-13.064, 17.756, 16.652, 104.10104
[16-07-21_15:20:33.784][[µT]X, Y, Z, Direção]-12.972, 17.848, 16.56, 103.76703
[16-07-21_15:20:33.857][[µT]X, Y, Z, Direção]-13.064, 17.848, 16.744, 103.95981
[16-07-21_15:20:33.944][[µT]X, Y, Z, Direção]-12.972, 17.94, 16.652, 103.62704
[16-07-21_15:20:34.028][[µT]X, Y, Z, Direção]-12.88, 17.848, 16.652, 103.573296
[16-07-21_15:20:34.041][[µT]X, Y, Z, Direção]-12.972, 17.848, 16.468, 103.76703
[16-07-21_15:20:34.141][[µT]X, Y, Z, Direção]-12.972, 18.032001, 16.56, 103.48799
[16-07-21_15:20:34.218][[µT]X, Y, Z, Direção]-12.88, 18.032001, 16.468, 103.29489
[16-07-21_15:20:34.281][[µT]X, Y, Z, Direção]-12.972, 17.848, 16.376001, 103.76703
[16-07-21_15:20:34.357][[µT]X, Y, Z, Direção]-12.88, 17.848, 16.284, 103.573296
[16-07-21_15:20:34.501][[µT]X, Y, Z, Direção]-12.88, 17.94, 16.192001, 103.433624
[16-07-21_15:20:34.513][[µT]X, Y, Z, Direção]-12.88, 17.94, 16.192001, 103.433624
[16-07-21_15:20:34.608][[µT]X, Y, Z, Direção]-12.88, 17.756, 16.192001, 103.71392
[16-07-21_15:20:34.666][[µT]X, Y, Z, Direção]-12.972, 17.756, 16.1, 103.90796
[16-07-21_15:20:34.740][[µT]X, Y, Z, Direção]-13.064, 17.848, 16.1, 103.95981
[16-07-21_15:20:34.812][[µT]X, Y, Z, Direção]-13.064, 17.756, 16.1, 104.10104
[16-07-21_15:20:34.965][[µT]X, Y, Z, Direção]-13.064, 17.572, 16.008, 104.386375
[16-07-21_15:20:34.978][[µT]X, Y, Z, Direção]-13.064, 17.480001, 16.008, 104.530495
[16-07-21_15:20:35.076][[µT]X, Y, Z, Direção]-13.156, 17.480001, 15.824, 104.72349
[16-07-21_15:20:35.132][[µT]X, Y, Z, Direção]-13.156, 17.572, 15.824, 104.57909
[16-07-21_15:20:35.198][[µT]X, Y, Z, Direção]-13.156, 17.296, 15.824, 105.01523
