[16-07-21_13:47:49.784][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655842
[16-07-21_13:47:49.849][[µT]X, Y, Z, Direção]16.008, 17.112, -20.792, 24.666382
[16-07-21_13:47:49.927][[µT]X, Y, Z, Direção]16.1, 17.112, -21.068, 24.50254
[16-07-21_13:47:49.990][[µT]X, Y, Z, Direção]16.1, 17.112, -20.792, 24.50254
[16-07-21_13:47:50.064][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:50.126][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655842
[16-07-21_13:47:50.203][[µT]X, Y, Z, Direção]16.1, 17.296, -21.16, 24.808266
[16-07-21_13:47:50.279][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666382
[16-07-21_13:47:50.341][[µT]X, Y, Z, Direção]16.1, 17.204, -21.068, 24.655842
[16-07-21_13:47:50.405][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:50.488][[µT]X, Y, Z, Direção]16.008, 17.112, -21.16, 24.666382
[16-07-21_13:47:50.560][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:50.705][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:50.719][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971985
[16-07-21_13:47:50.807][[µT]X, Y, Z, Direção]16.008, 17.296, -21.068, 24.971985
[16-07-21_13:47:50.865][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971985
[16-07-21_13:47:50.932][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:51.006][[µT]X, Y, Z, Direção]15.916, 17.204, -20.883999, 24.984276
[16-07-21_13:47:51.072][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666382
[16-07-21_13:47:51.140][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971985
[16-07-21_13:47:51.207][[µT]X, Y, Z, Direção]16.008, 17.296, -20.792, 24.971985
[16-07-21_13:47:51.273][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:51.365][[µT]X, Y, Z, Direção]16.1, 17.296, -23.184, 24.808266
[16-07-21_13:47:51.434][[µT]X, Y, Z, Direção]16.192001, 17.204, -20.883999, 24.492931
[16-07-21_13:47:51.510][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655842
[16-07-21_13:47:51.638][[µT]X, Y, Z, Direção]16.008, 17.112, -20.792, 24.666382
[16-07-21_13:47:51.691][[µT]X, Y, Z, Direção]16.1, 17.296, -20.976002, 24.808266
[16-07-21_13:47:51.767][[µT]X, Y, Z, Direção]16.1, 17.204, -22.908, 24.655842
[16-07-21_13:47:51.839][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:51.906][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:51.983][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:52.050][[µT]X, Y, Z, Direção]16.008, 17.204, -20.792, 24.819622
[16-07-21_13:47:52.116][[µT]X, Y, Z, Direção]16.008, 17.112, -23.368, 24.666382
[16-07-21_13:47:52.209][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:52.276][[µT]X, Y, Z, Direção]16.1, 17.204, -20.792, 24.655842
[16-07-21_13:47:52.435][[µT]X, Y, Z, Direção]16.008, 17.112, -20.7, 24.666382
[16-07-21_13:47:52.452][[µT]X, Y, Z, Direção]16.1, 17.112, -23.0, 24.50254
[16-07-21_13:47:52.550][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:52.615][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:52.682][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:52.754][[µT]X, Y, Z, Direção]15.916, 17.204, -20.792, 24.984276
[16-07-21_13:47:52.834][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:52.907][[µT]X, Y, Z, Direção]16.1, 17.204, -20.792, 24.655842
[16-07-21_13:47:52.961][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:53.032][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655842
[16-07-21_13:47:53.105][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:53.241][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
